endpoint_class,family_id,architecture,metric,metric_domain,direction,unit,reference_variant,candidate_variant,paired_seed_count,reference_mean,candidate_mean,mean_raw_delta_candidate_minus_B0,median_raw_delta_candidate_minus_B0,mean_improvement_delta,median_improvement_delta,bootstrap_95_CI_raw_delta_lower,bootstrap_95_CI_raw_delta_upper,paired_rank_biserial_improvement,improvement_wins,improvement_ties,improvement_losses,exact_sign_flip_assignments,exact_sign_flip_exceedances,exact_two_sided_p_raw,Holm_adjusted_p,Holm_reject_alpha_0_05,omnibus_monte_carlo_p,final_model_selection_used
exploratory,exploratory__tinyml_mlp__batch_1_p95_ms,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,B0,P50-noFT,5,0.04827299999999999,0.04043199999999997,-0.007841000000000018,-0.0023950000000000013,0.007841000000000018,0.0023950000000000013,-0.024295000000000004,0.006166999999999957,0.3333333333333333,3,0,2,32,14,0.4375,1.0,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__batch_1_p95_ms,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,B0,P50-FP32-FT,5,0.04827299999999999,0.039512999999999986,-0.008759999999999999,-0.025490000000000006,0.008759999999999999,0.025490000000000006,-0.031141999999999993,0.013840000000000002,0.4666666666666667,3,0,2,32,16,0.5,1.0,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__batch_1_p95_ms,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,B0,DQ,5,0.04827299999999999,0.1631849999999999,0.1149119999999999,0.10797499999999985,-0.1149119999999999,-0.10797499999999985,0.10348099999999989,0.12901099999999996,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__batch_1_p95_ms,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,B0,QAT,5,0.04827299999999999,0.15676099999999998,0.10848799999999999,0.11434499999999995,-0.10848799999999999,-0.11434499999999995,0.08696699999999997,0.13000899999999996,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__batch_1_p95_ms,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,B0,P25-QAT,5,0.04827299999999999,0.14159799999999986,0.09332499999999987,0.08836999999999987,-0.09332499999999987,-0.08836999999999987,0.08553799999999992,0.1032369999999998,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__batch_1_p95_ms,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,B0,P50-QAT,5,0.04827299999999999,0.15941599999999992,0.11114299999999992,0.11134499999999996,-0.11114299999999992,-0.11134499999999996,0.08504699999999998,0.14062299999999983,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__batch_1_p95_ms,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,B0,PTQ,5,0.04827299999999999,0.15305299999999988,0.10477999999999987,0.10078500000000003,-0.10477999999999987,-0.10078500000000003,0.090885,0.11867499999999975,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__batch_32_p95_ms,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,B0,FP32-FT,5,0.043141,0.039714999999999986,-0.003426000000000004,-0.004119999999999992,0.003426000000000004,0.004119999999999992,-0.011019000000000001,0.003556999999999992,0.4666666666666667,4,0,1,32,14,0.4375,0.75,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__batch_32_p95_ms,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,B0,P25-noFT,5,0.043141,0.032827999999999996,-0.010312999999999994,-0.007205000000000003,0.010312999999999994,0.007205000000000003,-0.01730299999999999,-0.0033229999999999983,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__batch_32_p95_ms,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,B0,P25-FP32-FT,5,0.043141,0.038659999999999986,-0.004480999999999999,-0.006085000000000007,0.004480999999999999,0.006085000000000007,-0.013600999999999992,0.00488,0.4666666666666667,3,0,2,32,12,0.375,0.75,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__batch_32_p95_ms,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,B0,P50-noFT,5,0.043141,0.030093999999999992,-0.013046999999999998,-0.010595000000000004,0.013046999999999998,0.010595000000000004,-0.020934999999999995,-0.005159000000000002,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__batch_32_p95_ms,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,B0,P50-FP32-FT,5,0.043141,0.03266599999999999,-0.010475000000000002,-0.010000000000000002,0.010475000000000002,0.010000000000000002,-0.017329,-0.00488299999999999,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__batch_32_p95_ms,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,B0,DQ,5,0.043141,0.24567699999999987,0.20253599999999983,0.20776999999999993,-0.20253599999999983,-0.20776999999999993,0.17232399999999987,0.22637799999999988,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
