relative_path,line_number,keywords,code
scripts\17_validate_pytorch_data_pipeline.py,14,CrossEntropyLoss,- Ağırlıklı CrossEntropyLoss sonlu loss ve gradient üretiyor mu?
scripts\17_validate_pytorch_data_pipeline.py,51,dataloader,"create_nbaiot_dataloader,"
scripts\17_validate_pytorch_data_pipeline.py,319,batch_size,"batch_size: int,"
scripts\17_validate_pytorch_data_pipeline.py,331,dataloader,create_nbaiot_dataloader(
scripts\17_validate_pytorch_data_pipeline.py,334,batch_size,"batch_size=batch_size,"
scripts\17_validate_pytorch_data_pipeline.py,389,batch_size,"* batch_size,"
scripts\17_validate_pytorch_data_pipeline.py,548,batch_size,"""batch_size"": int("
scripts\17_validate_pytorch_data_pipeline.py,549,batch_size,batch_size
scripts\17_validate_pytorch_data_pipeline.py,596,batch_size,"batch_size: int,"
scripts\17_validate_pytorch_data_pipeline.py,603,dataloader,"_, data_loader = create_nbaiot_dataloader("
scripts\17_validate_pytorch_data_pipeline.py,606,batch_size,"batch_size=batch_size,"
scripts\17_validate_pytorch_data_pipeline.py,638,batch_size,"batch_size: int,"
scripts\17_validate_pytorch_data_pipeline.py,647,batch_size,"batch_size=batch_size,"
scripts\17_validate_pytorch_data_pipeline.py,658,batch_size,"batch_size=batch_size,"
scripts\17_validate_pytorch_data_pipeline.py,685,batch_size,"batch_size=batch_size,"
scripts\17_validate_pytorch_data_pipeline.py,696,batch_size,"batch_size=batch_size,"
scripts\17_validate_pytorch_data_pipeline.py,723,batch_size,"batch_size=batch_size,"
scripts\17_validate_pytorch_data_pipeline.py,765,CrossEntropyLoss,"""""""Ağırlıklı CrossEntropyLoss için ileri ve geri geçiş testi yapar."""""""
scripts\17_validate_pytorch_data_pipeline.py,767,class_weight,class_weights = torch.as_tensor(
scripts\17_validate_pytorch_data_pipeline.py,768,class_weight,"assets.class_weights,"
scripts\17_validate_pytorch_data_pipeline.py,772,CrossEntropyLoss,criterion = nn.CrossEntropyLoss(
scripts\17_validate_pytorch_data_pipeline.py,773,class_weight,weight=class_weights
scripts\17_validate_pytorch_data_pipeline.py,794,CrossEntropyLoss,"""Ağırlıklı CrossEntropyLoss sonlu değil."""
scripts\17_validate_pytorch_data_pipeline.py,813,CrossEntropyLoss,"""CrossEntropyLoss"""
scripts\17_validate_pytorch_data_pipeline.py,816,class_weight,assets.class_weight_scheme
scripts\17_validate_pytorch_data_pipeline.py,818,class_weight,"""class_weights"": {"
scripts\17_validate_pytorch_data_pipeline.py,820,class_weight,assets.class_weights[
scripts\17_validate_pytorch_data_pipeline.py,829,class_weight,"""class_weight_mean"": float("
scripts\17_validate_pytorch_data_pipeline.py,830,class_weight,assets.class_weights.mean()
scripts\17_validate_pytorch_data_pipeline.py,846,batch_size,if args.batch_size <= 0:
scripts\17_validate_pytorch_data_pipeline.py,896,batch_size,"print(f""Batch boyutu      : {args.batch_size:,}"")"
scripts\17_validate_pytorch_data_pipeline.py,901,class_weight,"f""{assets.class_weight_scheme}"""
scripts\17_validate_pytorch_data_pipeline.py,922,batch_size,"batch_size=args.batch_size,"
scripts\17_validate_pytorch_data_pipeline.py,946,batch_size,batch_size=min(
scripts\17_validate_pytorch_data_pipeline.py,947,batch_size,"args.batch_size,"
scripts\17_validate_pytorch_data_pipeline.py,1067,class_weight,"""class_weight_scheme"": ("
scripts\17_validate_pytorch_data_pipeline.py,1068,class_weight,assets.class_weight_scheme
scripts\17_validate_pytorch_data_pipeline.py,1070,batch_size,"""batch_size"": int("
scripts\17_validate_pytorch_data_pipeline.py,1071,batch_size,args.batch_size
scripts\18_validate_model_registry.py,2,TinyML,N-BaIoT TinyML model kayıt sistemini doğrular.
scripts\18_validate_model_registry.py,47,dataloader,"create_nbaiot_dataloader,"
scripts\18_validate_model_registry.py,84,TinyML,"""TinyML model kayıt sistemini gerçek N-BaIoT """
scripts\18_validate_model_registry.py,464,class_weight,"class_weights: np.ndarray,"
scripts\18_validate_model_registry.py,600,class_weight,"class_weights,"
scripts\18_validate_model_registry.py,604,CrossEntropyLoss,criterion = nn.CrossEntropyLoss(
scripts\18_validate_model_registry.py,806,batch_size,if args.batch_size <= 0:
scripts\18_validate_model_registry.py,878,dataloader,create_nbaiot_dataloader(
scripts\18_validate_model_registry.py,881,batch_size,"batch_size=args.batch_size,"
scripts\18_validate_model_registry.py,919,tinyml,"""tinyml_mlp"","
scripts\18_validate_model_registry.py,920,compact,"""compact_dnn"","
scripts\18_validate_model_registry.py,928,TinyML,"print(""N-BaIoT TinyML Model Kayıt Sistemi Doğrulaması"")"
scripts\18_validate_model_registry.py,970,class_weight,class_weights=(
scripts\18_validate_model_registry.py,971,class_weight,assets.class_weights
scripts\18_validate_model_registry.py,1190,TinyML,"print(""TinyML model kayıt sistemi doğrulandı"")"
scripts\19_train_baseline.py,26,tinyml,"/ ""family3_tinyml_mlp_smoke.yaml"""
scripts\20_run_architecture_pilots.py,5,tinyml,- tinyml_mlp
scripts\20_run_architecture_pilots.py,6,compact,- compact_dnn
scripts\20_run_architecture_pilots.py,61,tinyml,"""tinyml_mlp"","
scripts\20_run_architecture_pilots.py,62,compact,"""compact_dnn"","
scripts\20_run_architecture_pilots.py,72,TinyML,"""Üç TinyML mimarisinin tam veri pilot """
scripts\20_run_architecture_pilots.py,85,epochs,"""--max-epochs"","
scripts\20_run_architecture_pilots.py,110,patience,"""--patience"","
scripts\20_run_architecture_pilots.py,220,batch_size,"batch_size: int,"
scripts\20_run_architecture_pilots.py,221,epochs,"maximum_epochs: int,"
scripts\20_run_architecture_pilots.py,222,learning_rate,"learning_rate: float,"
scripts\20_run_architecture_pilots.py,223,weight_decay,"weight_decay: float,"
scripts\20_run_architecture_pilots.py,224,patience,"patience: int,"
scripts\20_run_architecture_pilots.py,243,batch_size,"""batch_size"": int(batch_size),"
scripts\20_run_architecture_pilots.py,247,epochs,"""max_epochs"": int(maximum_epochs),"
scripts\20_run_architecture_pilots.py,248,learning_rate,"""learning_rate"": float("
scripts\20_run_architecture_pilots.py,249,learning_rate,learning_rate
scripts\20_run_architecture_pilots.py,251,weight_decay,"""weight_decay"": float("
scripts\20_run_architecture_pilots.py,252,weight_decay,weight_decay
scripts\20_run_architecture_pilots.py,255,patience,"""patience"": int(patience),"
scripts\20_run_architecture_pilots.py,285,epochs,if args.max_epochs <= 0:
scripts\20_run_architecture_pilots.py,287,epochs,"""max-epochs sıfırdan büyük olmalıdır."""
scripts\20_run_architecture_pilots.py,290,batch_size,if args.batch_size <= 0:
scripts\20_run_architecture_pilots.py,295,learning_rate,if args.learning_rate <= 0:
scripts\20_run_architecture_pilots.py,300,weight_decay,if args.weight_decay < 0:
scripts\20_run_architecture_pilots.py,305,patience,if args.patience <= 0:
scripts\20_run_architecture_pilots.py,307,patience,"""patience sıfırdan büyük olmalıdır."""
