endpoint_class,architecture,metric,metric_domain,direction,unit,variant,seed_count,mean,median,std_population,minimum,maximum
confirmatory,compact_dnn,batch_1_median_ms,deployment,lower_is_better,milliseconds,P25-FP32-FT,5,0.0407,0.0404,0.001248999599679678,0.0391,0.0428
confirmatory,compact_dnn,batch_1_median_ms,deployment,lower_is_better,milliseconds,P50-noFT,5,0.04007000000000001,0.04085,0.0026673207531153786,0.0362,0.04355
confirmatory,compact_dnn,batch_1_median_ms,deployment,lower_is_better,milliseconds,P50-FP32-FT,5,0.03866,0.0378,0.001580632784678339,0.0374,0.0417
confirmatory,compact_dnn,batch_1_median_ms,deployment,lower_is_better,milliseconds,DQ,5,0.16024,0.16035,0.004842148283561753,0.15505,0.16805
confirmatory,compact_dnn,batch_1_median_ms,deployment,lower_is_better,milliseconds,QAT,5,0.13618999999999998,0.13555,0.0035238331402040056,0.13055,0.14045000000000002
confirmatory,compact_dnn,batch_1_median_ms,deployment,lower_is_better,milliseconds,P25-QAT,5,0.13628,0.1388,0.009490500513671552,0.1182,0.1455
confirmatory,compact_dnn,batch_1_median_ms,deployment,lower_is_better,milliseconds,P50-QAT,5,0.14221,0.1382,0.010430071907709936,0.13375,0.162
confirmatory,compact_dnn,batch_1_median_ms,deployment,lower_is_better,milliseconds,PTQ,5,0.13831,0.1387,0.004712685009630923,0.1303,0.14485
confirmatory,compact_dnn,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,B0,5,547202.1636133095,539410.6938170049,24373.95564902534,512389.41595612664,584736.548775251
confirmatory,compact_dnn,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,FP32-FT,5,534397.378522926,538172.4001648154,17913.719500571908,507948.6019508401,557996.7915184487
confirmatory,compact_dnn,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,P25-noFT,5,581034.4864529131,577190.1661225447,44916.890777129585,508554.03783959884,642234.9777224741
confirmatory,compact_dnn,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,P25-FP32-FT,5,588555.9458143262,590847.4044258164,27671.857522547234,539501.6353643322,625311.4344058076
confirmatory,compact_dnn,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,P50-noFT,5,656150.7296020037,653254.5345051087,28604.22967063589,616148.8769723985,694097.997961087
confirmatory,compact_dnn,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,P50-FP32-FT,5,680229.5377788424,665391.333277884,31329.065136967907,645538.7222367917,730860.5883427736
confirmatory,compact_dnn,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,DQ,5,129247.62388063656,129465.02623689672,4618.639509319313,121335.0648858218,135425.94634170082
confirmatory,compact_dnn,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,QAT,5,124785.87654495965,123910.9390125847,1960.7489444526182,122870.87806601237,127312.00592000828
confirmatory,compact_dnn,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,P25-QAT,5,131572.78763373004,126562.25280809998,10522.359756611719,123531.37600441625,151704.0632985204
confirmatory,compact_dnn,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,P50-QAT,5,130032.86360280805,129663.05838687,4137.5339345810735,123616.79565950527,136626.60376150117
confirmatory,compact_dnn,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,PTQ,5,127916.53885021154,129704.31469509353,3718.585248683731,123501.10186139318,132554.30066215014
confirmatory,compact_dnn,serialized_state_dict_bytes,deployment,lower_is_better,bytes,B0,5,104397.0,104397.0,0.0,104397.0,104397.0
confirmatory,compact_dnn,serialized_state_dict_bytes,deployment,lower_is_better,bytes,FP32-FT,5,104397.0,104397.0,0.0,104397.0,104397.0
confirmatory,compact_dnn,serialized_state_dict_bytes,deployment,lower_is_better,bytes,P25-noFT,5,71501.0,71501.0,0.0,71501.0,71501.0
confirmatory,compact_dnn,serialized_state_dict_bytes,deployment,lower_is_better,bytes,P25-FP32-FT,5,71501.0,71501.0,0.0,71501.0,71501.0
confirmatory,compact_dnn,serialized_state_dict_bytes,deployment,lower_is_better,bytes,P50-noFT,5,43597.0,43597.0,0.0,43597.0,43597.0
confirmatory,compact_dnn,serialized_state_dict_bytes,deployment,lower_is_better,bytes,P50-FP32-FT,5,43597.0,43597.0,0.0,43597.0,43597.0
